Date,Adj Close,Close,High,Low,Open,Volume
2021-01-04,127.00212097167969,129.41000366210938,133.61000061035156,126.76000213623047,133.52000427246094,143301900
2021-01-05,128.5723114013672,131.00999450683594,131.74000549316406,128.42999267578125,128.88999938964844,97664900
2021-01-06,124.24440002441406,126.5999984741211,131.0500030517578,126.37999725341797,127.72000122070312,155088000
2021-01-07,128.4840087890625,130.9199981689453,131.6300048828125,127.86000061035156,128.36000061035156,109578200
2021-01-08,129.5929718017578,132.0500030517578,132.6300048828125,130.22999572753906,132.42999267578125,105158200
2021-01-11,126.580078125,128.97999572753906,130.1699981689453,128.5,129.19000244140625,100384500
2021-01-12,126.40342712402344,128.8000030517578,129.69000244140625,126.86000061035156,128.5,91951100
2021-01-13,128.45455932617188,130.88999938964844,131.4499969482422,128.49000549316406,128.75999450683594,88636800
2021-01-14,126.51139831542969,128.91000366210938,131.0,128.75999450683594,130.8000030517578,90221800
2021-01-15,124.77433776855469,127.13999938964844,130.22000122070312,127.0,128.77999877929688,111598500
2021-01-19,125.45150756835938,127.83000183105469,128.7100067138672,126.94000244140625,127.77999877929688,90757300
2021-01-20,129.57333374023438,132.02999877929688,132.49000549316406,128.5500030517578,128.66000366210938,104319500
2021-01-21,134.32327270507812,136.8699951171875,139.6699981689453,133.58999633789062,133.8000030517578,120150900
2021-01-22,136.48239135742188,139.07000732421875,139.85000610351562,135.02000427246094,136.27999877929688,114459400
2021-01-25,140.2607421875,142.9199981689453,145.08999633789062,136.5399932861328,143.07000732421875,157611700
2021-01-26,140.4962615966797,143.16000366210938,144.3000030517578,141.3699951171875,143.60000610351562,98390600
2021-01-27,139.41673278808594,142.05999755859375,144.3000030517578,140.41000366210938,143.42999267578125,140843800
2021-01-28,134.53919982910156,137.08999633789062,141.99000549316406,136.6999969482422,139.52000427246094,142621100
2021-01-29,129.50465393066406,131.9600067138672,136.74000549316406,130.2100067138672,135.8300018310547,177523800
2021-02-01,131.6441192626953,134.13999938964844,135.3800048828125,130.92999267578125,133.75,106239800
2021-02-02,132.478271484375,134.99000549316406,136.30999755859375,134.61000061035156,135.72999572753906,83305400
2021-02-03,131.44778442382812,133.94000244140625,135.77000427246094,133.61000061035156,135.75999450683594,89880900
2021-02-04,134.83360290527344,137.38999938964844,137.39999389648438,134.58999633789062,136.3000030517578,84183100
2021-02-05,134.41590881347656,136.75999450683594,137.4199981689453,135.86000061035156,137.35000610351562,75693800
2021-02-08,134.56333923339844,136.91000366210938,136.9600067138672,134.9199981689453,136.02999877929688,71297200
2021-02-09,133.67874145507812,136.00999450683594,137.8800048828125,135.85000610351562,136.6199951171875,76774200
2021-02-10,133.06935119628906,135.38999938964844,136.99000549316406,134.39999389648438,136.47999572753906,73046600
